NEW PAIR:
Pair: AXP & WAB
Window,10
Time: 2024-12-10 00:00:00 - Neutral (No position)
"Time: 2024-12-17 00:00:00 - Short AXP, Long WAB"
Time: 2024-12-30 00:00:00 - Neutral (No position)
"Time: 2025-01-07 00:00:00 - Short AXP, Long WAB"
Time: 2025-01-08 00:00:00 - Neutral (No position)
"Time: 2025-01-14 00:00:00 - Long AXP, Short WAB"
Time: 2025-01-15 00:00:00 - Neutral (No position)
"Time: 2025-01-30 00:00:00 - Long AXP, Short WAB"
Time: 2025-02-03 00:00:00 - Neutral (No position)
"Time: 2025-02-10 00:00:00 - Long AXP, Short WAB"
"Time: 2025-02-12 00:00:00 - Short AXP, Long WAB"
Time: 2025-02-13 00:00:00 - Neutral (No position)
"Time: 2025-02-14 00:00:00 - Short AXP, Long WAB"
Time: 2025-02-19 00:00:00 - Neutral (No position)
"Time: 2025-03-05 00:00:00 - Long AXP, Short WAB"
Time: 2025-03-14 00:00:00 - Neutral (No position)
"Time: 2025-03-31 00:00:00 - Short AXP, Long WAB"
Time: 2025-04-01 00:00:00 - Neutral (No position)
"Time: 2025-04-03 00:00:00 - Long AXP, Short WAB"
Time: 2025-04-04 00:00:00 - Neutral (No position)
"Time: 2025-04-23 00:00:00 - Long AXP, Short WAB"
Time: 2025-04-28 00:00:00 - Neutral (No position)
"Time: 2025-05-08 00:00:00 - Short AXP, Long WAB"
Time: 2025-05-14 00:00:00 - Neutral (No position)
"Time: 2025-05-19 00:00:00 - Long AXP, Short WAB"
Time: 2025-05-27 00:00:00 - Neutral (No position)
"Time: 2025-06-20 00:00:00 - Short AXP, Long WAB"
Time: 2025-07-02 00:00:00 - Neutral (No position)
"Time: 2025-07-09 00:00:00 - Long AXP, Short WAB"
Time: 2025-07-10 00:00:00 - Neutral (No position)
"Time: 2025-07-15 00:00:00 - Long AXP, Short WAB"
"Time: 2025-07-24 00:00:00 - Short AXP, Long WAB"
Time: 2025-07-31 00:00:00 - Neutral (No position)
"Time: 2025-08-11 00:00:00 - Long AXP, Short WAB"
Time: 2025-08-12 00:00:00 - Neutral (No position)
"Time: 2025-08-14 00:00:00 - Short AXP, Long WAB"
Time: 2025-08-19 00:00:00 - Neutral (No position)
"Time: 2025-08-28 00:00:00 - Short AXP, Long WAB"
Time: 2025-09-05 00:00:00 - Neutral (No position)
"Time: 2025-09-15 00:00:00 - Short AXP, Long WAB"
Time: 2025-09-22 00:00:00 - Neutral (No position)



